network,method,variant_index,n_runs,build_sec,run_sec,sec_per_run,total_steps,num_cores
tobacco,equalize,0,1000,0.0011448860168457031,64.08123207092285,0.06408123207092285,16780855,60
tobacco,equalize,1,1000,0.0012638568878173828,58.929306983947754,0.05892930698394776,16014417,60
tobacco,equalize,2,1000,0.0011899471282958984,59.10954570770264,0.05910954570770264,16228566,60
tobacco,equalize,3,1000,0.0011010169982910156,62.182987213134766,0.06218298721313477,16399817,60
tobacco,equalize,4,1000,0.0012814998626708984,63.99493432044983,0.06399493432044982,17335534,60
tobacco,equalize,5,1000,0.001233816146850586,60.9967303276062,0.0609967303276062,15965946,60
tobacco,equalize,6,1000,0.0010974407196044922,66.87529706954956,0.06687529706954956,17074519,60
tobacco,equalize,7,1000,0.0015418529510498047,62.60614728927612,0.06260614728927612,16794695,60
tobacco,equalize,8,1000,0.0011963844299316406,62.7768657207489,0.0627768657207489,16958179,60
tobacco,equalize,9,1000,0.0011563301086425781,63.47923040390015,0.06347923040390015,17167522,60
tobacco,equalize,10,1000,0.001462697982788086,58.7746787071228,0.0587746787071228,15962174,60
tobacco,equalize,11,1000,0.0012073516845703125,59.5999698638916,0.0595999698638916,15849758,60
tobacco,equalize,12,1000,0.0011341571807861328,61.45264267921448,0.06145264267921448,16201524,60
tobacco,equalize,13,1000,0.0015628337860107422,62.308557748794556,0.062308557748794555,16478406,60
tobacco,equalize,14,1000,0.001230001449584961,62.427072525024414,0.06242707252502441,16569919,60
tobacco,equalize,15,1000,0.001131296157836914,59.797375202178955,0.059797375202178954,16155382,60
tobacco,equalize,16,1000,0.0014472007751464844,60.45333385467529,0.060453333854675294,16197582,60
tobacco,equalize,17,1000,0.0011780261993408203,63.31985950469971,0.0633198595046997,17387480,60
tobacco,equalize,18,1000,0.0010919570922851562,61.27257990837097,0.06127257990837097,16320418,60
tobacco,equalize,19,1000,0.0015456676483154297,66.85858225822449,0.06685858225822448,17758854,60
tobacco,equalize,20,1000,0.0012395381927490234,66.25771737098694,0.06625771737098694,16944531,60
tobacco,equalize,21,1000,0.00112152099609375,61.10919523239136,0.061109195232391354,16325799,60
tobacco,equalize,22,1000,0.0013933181762695312,62.64630913734436,0.06264630913734436,16189603,60
tobacco,equalize,23,1000,0.0011730194091796875,63.21366333961487,0.06321366333961487,16771075,60
tobacco,equalize,24,1000,0.0011532306671142578,62.88687992095947,0.06288687992095947,16402069,60
tobacco,equalize,25,1000,0.001499176025390625,66.06660985946655,0.06606660985946655,17784096,60
tobacco,equalize,26,1000,0.0011363029479980469,66.30529046058655,0.06630529046058654,17628045,60
tobacco,equalize,27,1000,0.0011014938354492188,60.60651135444641,0.06060651135444641,16297099,60
tobacco,equalize,28,1000,0.0014491081237792969,61.6833872795105,0.0616833872795105,16676292,60
tobacco,equalize,29,1000,0.001146078109741211,58.99487805366516,0.05899487805366516,15809452,60
tobacco,equalize,30,1000,0.00110626220703125,59.212671756744385,0.059212671756744384,15803193,60
tobacco,equalize,31,1000,0.0014586448669433594,61.80253553390503,0.06180253553390503,16724967,60
tobacco,equalize,32,1000,0.001130819320678711,62.11213707923889,0.06211213707923889,16515714,60
tobacco,equalize,33,1000,0.0010957717895507812,62.51306414604187,0.06251306414604187,16627118,60
tobacco,equalize,34,1000,0.0014977455139160156,59.81671357154846,0.05981671357154846,15774822,60
tobacco,equalize,35,1000,0.0011091232299804688,64.7092444896698,0.0647092444896698,17180811,60
tobacco,equalize,36,1000,0.0010921955108642578,64.64492917060852,0.06464492917060852,17111643,60
tobacco,equalize,37,1000,0.001500844955444336,58.6934072971344,0.058693407297134396,15737941,60
tobacco,equalize,38,1000,0.0010950565338134766,61.361287355422974,0.061361287355422976,16683544,60
tobacco,equalize,39,1000,0.0010590553283691406,62.33415603637695,0.06233415603637695,16707089,60
tobacco,equalize,40,1000,0.0014948844909667969,61.98927044868469,0.06198927044868469,16515845,60
tobacco,equalize,41,1000,0.0010676383972167969,62.273321866989136,0.06227332186698913,16952644,60
tobacco,equalize,42,1000,0.0010952949523925781,63.16425943374634,0.06316425943374634,16688435,60
tobacco,equalize,43,1000,0.0014853477478027344,64.75265169143677,0.06475265169143676,17107164,60
tobacco,equalize,44,1000,0.0010361671447753906,58.27654957771301,0.05827654957771301,15723689,60
tobacco,equalize,45,1000,0.0011067390441894531,66.11747860908508,0.06611747860908508,17564097,60
tobacco,equalize,46,1000,0.0013890266418457031,63.021167278289795,0.0630211672782898,17063431,60
tobacco,equalize,47,1000,0.0010526180267333984,62.862534523010254,0.06286253452301026,16695335,60
tobacco,equalize,48,1000,0.001074075698852539,64.07769083976746,0.06407769083976746,17481183,60
tobacco,equalize,49,1000,0.0014710426330566406,60.49244236946106,0.06049244236946106,16410722,60
tobacco,equalize,50,1000,0.0010635852813720703,64.43711471557617,0.06443711471557617,17340793,60
tobacco,equalize,51,1000,0.0010993480682373047,64.99812865257263,0.06499812865257264,17057348,60
tobacco,equalize,52,1000,0.0014750957489013672,63.56318259239197,0.06356318259239196,16706707,60
tobacco,equalize,53,1000,0.0010559558868408203,60.04590821266174,0.060045908212661744,16255216,60
tobacco,equalize,54,1000,0.0010933876037597656,62.57412838935852,0.06257412838935852,16922842,60
tobacco,equalize,55,1000,0.0014989376068115234,65.0475389957428,0.0650475389957428,17069878,60
tobacco,equalize,56,1000,0.0010557174682617188,61.67468023300171,0.06167468023300171,16403162,60
tobacco,equalize,57,1000,0.0011227130889892578,64.63409304618835,0.06463409304618835,17281353,60
tobacco,equalize,58,1000,0.0014412403106689453,64.34048366546631,0.06434048366546631,16597482,60
tobacco,equalize,59,1000,0.0010547637939453125,67.07822871208191,0.06707822871208191,17929016,60
tobacco,equalize,60,1000,0.001081228256225586,58.621501207351685,0.058621501207351684,15836679,60
tobacco,equalize,61,1000,0.0015425682067871094,66.2855715751648,0.06628557157516479,17230895,60
tobacco,equalize,62,1000,0.0010707378387451172,60.78888130187988,0.060788881301879885,16009368,60
tobacco,equalize,63,1000,0.0010995864868164062,63.49312877655029,0.06349312877655029,16899099,60
tobacco,equalize,64,1000,0.0014495849609375,61.1333167552948,0.0611333167552948,16727528,60
tobacco,equalize,65,1000,0.0010867118835449219,64.8429229259491,0.06484292292594909,17743513,60
tobacco,equalize,66,1000,0.0010972023010253906,62.126888036727905,0.062126888036727904,17005508,60
tobacco,equalize,67,1000,0.0014801025390625,64.8354001045227,0.06483540010452271,17139667,60
tobacco,equalize,68,1000,0.001092672348022461,68.52481269836426,0.06852481269836426,17357129,60
tobacco,equalize,69,1000,0.0011065006256103516,64.24891400337219,0.0642489140033722,16667568,60
tobacco,equalize,70,1000,0.0014650821685791016,63.72220158576965,0.06372220158576965,17162225,60
tobacco,equalize,71,1000,0.0010714530944824219,62.78948664665222,0.06278948664665222,16731511,60
tobacco,equalize,72,1000,0.0011076927185058594,64.51275992393494,0.06451275992393493,17154707,60
tobacco,equalize,73,1000,0.0014805793762207031,62.15766668319702,0.06215766668319702,16417307,60
tobacco,equalize,74,1000,0.00109100341796875,64.01133513450623,0.06401133513450623,16191682,60
tobacco,equalize,75,1000,0.0010879039764404297,61.94581937789917,0.06194581937789917,16334266,60
tobacco,equalize,76,1000,0.0014891624450683594,64.34633731842041,0.0643463373184204,17214090,60
tobacco,equalize,77,1000,0.001074075698852539,60.82064986228943,0.06082064986228943,16003188,60
tobacco,equalize,78,1000,0.001079559326171875,68.0003023147583,0.0680003023147583,17926627,60
tobacco,equalize,79,1000,0.001543283462524414,63.96925377845764,0.06396925377845764,17431498,60
tobacco,equalize,80,1000,0.001020669937133789,66.69725441932678,0.06669725441932678,17758427,60
tobacco,equalize,81,1000,0.001077890396118164,62.67367935180664,0.06267367935180664,16327735,60
tobacco,equalize,82,1000,0.001483917236328125,64.68619847297668,0.06468619847297669,17388073,60
tobacco,equalize,83,1000,0.0010597705841064453,62.81092953681946,0.06281092953681945,16715520,60
tobacco,equalize,84,1000,0.0010848045349121094,61.21556997299194,0.06121556997299194,16152538,60
