network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
pud,equalize,0,0.043795740118136764,0.01,1000,90,160,1.7777777777777777,0.7027777777777777,0.17075949905628265,2165121741,0.8486111111111111,0.043618314034634426,84.625,18.165410616254807,0.7347222222222222,0.11038452911562198,8
pud,equalize,1,0.07624213143661505,0.01,1000,90,160,1.7777777777777777,0.6866666666666666,0.16528296751980956,2310751638,0.8347222222222223,0.05892556509887893,90.75,18.01388353465182,0.7208333333333333,0.11054418861561338,8
pud,equalize,2,0.04168359519479257,0.01,1000,90,160,1.7777777777777777,0.7083333333333334,0.1656823329367189,3085228320,0.8805555555555555,0.03600411499115477,83.625,15.9009209077426,0.8166666666666667,0.10338196500275419,8
