network,method,variant_index,variation_seed,uncertainty,proportion_edges,done
pud,equalize,0,2165121741,0.01,0.043795740118136764,True
pud,equalize,1,2310751638,0.01,0.07624213143661505,True
pud,equalize,2,3085228320,0.01,0.04168359519479257,True
tobacco,equalize,0,1183105679,0.01,0.05207109093381196,True
tobacco,equalize,1,4189262771,0.01,0.020073986741149352,True
tobacco,equalize,2,3409914062,0.01,0.05641586331839202,True
ego,equalize,0,3982466393,0.01,0.005741959481792991,True
ego,equalize,1,1154238087,0.01,0.05314436436460224,True
ego,equalize,2,3593136189,0.01,0.0929248913138006,True
