network,method,variants_done,mean_build_sec,mean_run_sec,sec_per_run,variants_left,projected_hours_left,projected_total_hours
ego,equalize,1000,0.002118745565414429,8.946646426200866,0.008946646426200865,0,0.0,2.4857681032684114
pud,equalize,1000,0.0006487083435058152,3.597984353303909,0.0035979843533038647,0,0.0,0.9996202949020596
tobacco,equalize,1000,0.0011952111721038818,6.4095646414756775,0.006409564641475678,0,0.0,1.7807666257354948
