target_stat,pooled_coef,pooled_se,ci_low,ci_high,p_value,n_sources,q,i2,target_label
density,0.2833380612802999,0.005035397691390864,0.2734686818051738,0.29320744075542604,0.0,3.0,493.2012703511996,0.9959448604044028,Density
degree_gini,0.05016632839046216,0.005173384817363593,0.040026494148429514,0.0603061626324948,0.0,3.0,23.730368576172275,0.915719808835662,Degree gini
clustering,-0.04725343354505339,0.0038606480501415675,-0.05482030372333086,-0.039686563366775916,0.0,3.0,8.35035381694168,0.7604891907762897,Clustering
