network,method,variant_index,n_runs,build_sec,run_sec,sec_per_run,total_steps,num_cores
pud,equalize,427,1000,0.0006196498870849609,9.045002937316895,0.009045002937316894,2974240,60
pud,equalize,428,1000,0.0005829334259033203,8.827764511108398,0.008827764511108399,2782774,60
pud,equalize,429,1000,0.0005779266357421875,9.007957935333252,0.009007957935333252,2914811,60
pud,equalize,430,1000,0.0006539821624755859,8.567514181137085,0.008567514181137085,2818124,60
pud,equalize,431,1000,0.0005931854248046875,9.993816375732422,0.009993816375732422,3336095,60
pud,equalize,432,1000,0.0005538463592529297,9.421877384185791,0.009421877384185791,3150936,60
pud,equalize,433,1000,0.0005986690521240234,9.131427764892578,0.009131427764892577,2970664,60
pud,equalize,434,1000,0.0006253719329833984,9.043802738189697,0.009043802738189697,2831582,60
pud,equalize,435,1000,0.0005812644958496094,9.448604583740234,0.009448604583740234,3095493,60
pud,equalize,436,1000,0.0005173683166503906,10.204288005828857,0.010204288005828857,3394992,60
pud,equalize,437,1000,0.0005476474761962891,9.607516050338745,0.009607516050338745,3189177,60
pud,equalize,438,1000,0.0006439685821533203,9.339038372039795,0.009339038372039796,2937544,60
pud,equalize,439,1000,0.0006642341613769531,9.767740726470947,0.009767740726470948,3312464,60
pud,equalize,440,1000,0.0005843639373779297,10.127430200576782,0.010127430200576782,3317415,60
pud,equalize,441,1000,0.0006513595581054688,10.753842115402222,0.010753842115402222,3633098,60
pud,equalize,442,1000,0.0006814002990722656,10.654854536056519,0.010654854536056519,3431614,60
pud,equalize,443,1000,0.0005846023559570312,10.439143419265747,0.010439143419265747,3539418,60
pud,equalize,444,1000,0.0005702972412109375,9.469313383102417,0.009469313383102416,3025380,60
pud,equalize,445,1000,0.0005431175231933594,10.355327606201172,0.010355327606201172,3373825,60
pud,equalize,446,1000,0.0006604194641113281,9.048802375793457,0.009048802375793457,2896054,60
pud,equalize,447,1000,0.000629425048828125,9.25822401046753,0.009258224010467529,2884966,60
pud,equalize,448,1000,0.0005137920379638672,9.154067039489746,0.009154067039489747,3006350,60
