n_agents,shape,conclusion,steps
5,cycle,1.0,194
5,cycle,1.0,338
5,cycle,0.0,17
5,cycle,1.0,184
5,cycle,0.0,4
5,cycle,1.0,179
5,cycle,0.0,239
5,cycle,1.0,188
5,cycle,1.0,744
5,cycle,1.0,404
5,cycle,1.0,210
5,cycle,0.0,31
5,cycle,1.0,686
5,cycle,1.0,187
5,cycle,1.0,477
5,cycle,1.0,650
5,cycle,1.0,208
5,cycle,1.0,394
5,cycle,1.0,777
5,cycle,1.0,402
5,cycle,0.0,1
5,cycle,1.0,351
5,cycle,0.0,63
5,cycle,1.0,766
5,cycle,1.0,631
5,cycle,1.0,241
5,cycle,1.0,497
5,cycle,0.0,242
5,cycle,1.0,280
5,cycle,0.0,1
5,cycle,1.0,447
5,cycle,0.0,24
5,cycle,1.0,287
5,cycle,1.0,191
5,cycle,0.0,10
5,cycle,1.0,158
5,cycle,1.0,725
5,cycle,1.0,204
5,cycle,1.0,417
5,cycle,1.0,1358
5,cycle,1.0,353
5,cycle,1.0,1475
5,cycle,1.0,572
5,cycle,1.0,525
5,cycle,1.0,571
5,cycle,1.0,842
5,cycle,1.0,446
5,cycle,1.0,491
5,cycle,1.0,508
5,cycle,1.0,1365
5,cycle,1.0,619
5,cycle,1.0,336
5,cycle,1.0,449
5,cycle,0.0,26
5,cycle,1.0,109
5,cycle,1.0,1445
5,cycle,1.0,1120
5,cycle,1.0,836
5,cycle,1.0,421
5,cycle,0.0,1
5,cycle,0.0,206
5,cycle,1.0,219
5,cycle,1.0,449
5,cycle,0.0,10
5,cycle,1.0,463
5,cycle,1.0,276
5,cycle,1.0,130
5,cycle,1.0,504
5,cycle,1.0,282
5,cycle,1.0,171
5,cycle,1.0,644
5,cycle,0.0,1
5,cycle,1.0,228
5,cycle,1.0,521
5,cycle,1.0,632
5,cycle,1.0,407
5,cycle,0.0,86
5,cycle,1.0,201
5,cycle,1.0,549
5,cycle,0.0,477
5,cycle,1.0,916
5,cycle,1.0,716
5,cycle,1.0,141
5,cycle,1.0,192
5,cycle,1.0,330
5,cycle,1.0,615
5,cycle,1.0,345
5,cycle,1.0,375
5,cycle,1.0,755
5,cycle,1.0,630
5,cycle,1.0,679
5,cycle,1.0,180
5,cycle,1.0,965
5,cycle,1.0,300
5,cycle,1.0,714
5,cycle,1.0,569
5,cycle,1.0,483
5,cycle,1.0,286
5,cycle,1.0,114
5,cycle,1.0,1052
5,cycle,1.0,310
5,cycle,1.0,367
5,cycle,1.0,428
5,cycle,0.0,12
5,cycle,1.0,626
5,cycle,1.0,600
5,cycle,1.0,402
5,cycle,1.0,231
5,cycle,0.0,12
5,cycle,1.0,136
5,cycle,1.0,646
5,cycle,1.0,123
5,cycle,1.0,129
5,cycle,1.0,153
5,cycle,1.0,249
5,cycle,0.0,1
5,cycle,1.0,558
5,cycle,0.0,118
5,cycle,1.0,747
5,cycle,1.0,621
5,cycle,1.0,910
5,cycle,0.0,1
5,cycle,1.0,809
5,cycle,1.0,564
5,cycle,0.0,1
5,cycle,0.0,9
5,cycle,1.0,284
5,cycle,0.0,30
5,cycle,1.0,218
5,cycle,1.0,199
5,cycle,1.0,454
5,cycle,1.0,250
5,cycle,0.0,58
5,cycle,1.0,421
5,cycle,1.0,656
5,cycle,1.0,184
5,cycle,1.0,654
5,cycle,1.0,450
5,cycle,1.0,608
5,cycle,1.0,1472
5,cycle,1.0,320
5,cycle,1.0,350
5,cycle,0.0,46
5,cycle,1.0,1484
5,cycle,1.0,407
5,cycle,0.0,1
5,cycle,1.0,1119
5,cycle,0.0,652
5,cycle,1.0,462
5,cycle,1.0,650
5,cycle,1.0,486
5,cycle,1.0,442
5,cycle,1.0,509
5,cycle,1.0,556
5,cycle,1.0,305
5,cycle,1.0,187
5,cycle,1.0,436
5,cycle,1.0,265
5,cycle,1.0,135
5,cycle,1.0,897
5,cycle,1.0,319
5,cycle,0.0,86
5,cycle,1.0,712
5,cycle,1.0,729
5,cycle,1.0,511
5,cycle,1.0,453
5,cycle,1.0,452
5,cycle,1.0,565
5,cycle,1.0,1075
5,cycle,1.0,122
5,cycle,1.0,1199
5,cycle,1.0,1004
5,cycle,1.0,689
5,cycle,1.0,411
5,cycle,0.0,1
5,cycle,1.0,732
5,cycle,1.0,739
5,cycle,1.0,694
5,cycle,1.0,102
5,cycle,1.0,475
5,cycle,1.0,88
5,cycle,1.0,275
5,cycle,1.0,655
5,cycle,1.0,196
5,cycle,1.0,206
5,cycle,1.0,355
5,cycle,0.0,28
5,cycle,1.0,213
5,cycle,1.0,420
5,cycle,1.0,345
5,cycle,1.0,1178
5,cycle,1.0,179
5,cycle,1.0,473
5,cycle,1.0,808
5,cycle,0.0,8
5,cycle,1.0,415
5,cycle,0.0,24
5,cycle,1.0,542
5,cycle,1.0,132
5,cycle,1.0,845
5,cycle,1.0,311
5,cycle,1.0,389
5,cycle,0.0,1
5,cycle,1.0,307
5,cycle,1.0,601
5,cycle,1.0,192
5,cycle,0.0,140
5,cycle,1.0,688
5,cycle,1.0,151
5,cycle,1.0,191
5,cycle,1.0,916
5,cycle,1.0,299
5,cycle,1.0,401
5,cycle,1.0,298
5,cycle,1.0,221
5,cycle,1.0,616
5,cycle,1.0,381
5,cycle,1.0,380
5,cycle,1.0,91
