network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
pud,equalize,0,0.004772351124634,0.0001,1000,90,160,1.7777777777777777,0.7245833333333334,0.1639069475034387,3734154003,0.5180555555555555,0.14041228032336942,1187.5,295.47685430261953,0.6486111111111111,0.07534459343669653,8
pud,equalize,1,0.09981935990650918,0.0001,1000,90,160,1.7777777777777777,0.6902777777777778,0.16412619982050633,3186587469,0.6027777777777779,0.1360503589718412,1117.75,352.74019172351603,0.7,0.08186537751255636,8
pud,equalize,2,0.02877822012614836,0.0001,1000,90,160,1.7777777777777777,0.7255555555555555,0.17084756752885402,2064431263,0.4222222222222222,0.155215046816916,1320.5,453.56335200908194,0.5847222222222223,0.1258393337509034,8
