network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
ego,equalize,0,0.03827396318217602,0.0001,1000,503,2933,5.831013916500994,0.9131016831164395,0.5929179451944047,2486417708,0.7974652087475149,0.18954403310881027,2000.0,0.0,0.0,0.0,8
ego,equalize,1,0.021051796252716283,0.0001,1000,503,2933,5.831013916500994,0.916550475530723,0.5922377034020082,1834041383,0.5795228628230616,0.3164060004816091,2000.0,0.0,0.002982107355864811,0.0018405966198261458,8
ego,equalize,2,0.04383343123952285,0.0001,1000,503,2933,5.831013916500994,0.9121364550508066,0.5932093999173667,4190606787,0.5576540755467196,0.2751656037330144,2000.0,0.0,0.5,0.5345224838248488,8
