network,method,variant_index,variation_seed,uncertainty,proportion_edges,done
pud,equalize,0,3734154003,0.0001,0.004772351124634,True
pud,equalize,1,3186587469,0.0001,0.09981935990650918,True
pud,equalize,2,2064431263,0.0001,0.02877822012614836,True
tobacco,equalize,0,1812297492,0.0001,0.05224858346509747,True
tobacco,equalize,1,2405103526,0.0001,0.0028587669083866007,True
tobacco,equalize,2,988742546,0.0001,0.024955572671985417,True
ego,equalize,0,2486417708,0.0001,0.03827396318217602,True
ego,equalize,1,1834041383,0.0001,0.021051796252716283,True
ego,equalize,2,4190606787,0.0001,0.04383343123952285,True
