network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
pud,equalize,0,0.004772351124634,0.0001,1000,90,160,1.7777777777777777,0.7245833333333334,0.1639069475034387,3734154003,0.5180555555555555,0.14041228032336942,1187.5,295.47685430261953,0.6486111111111111,0.07534459343669653,8
pud,equalize,1,0.09981935990650918,0.0001,1000,90,160,1.7777777777777777,0.6902777777777778,0.16412619982050633,3186587469,0.6027777777777779,0.1360503589718412,1117.75,352.74019172351603,0.7,0.08186537751255636,8
pud,equalize,2,0.02877822012614836,0.0001,1000,90,160,1.7777777777777777,0.7255555555555555,0.17084756752885402,2064431263,0.4222222222222222,0.155215046816916,1320.5,453.56335200908194,0.5847222222222223,0.1258393337509034,8
tobacco,equalize,0,0.05224858346509747,0.0001,1000,289,1229,4.252595155709343,0.7390034939932034,0.23631097907412468,1812297492,0.5999134948096886,0.13417828645864735,2000.0,0.0,0.8953287197231834,0.013045618606422777,8
tobacco,equalize,1,0.0028587669083866007,0.0001,1000,289,1229,4.252595155709343,0.7616623636962563,0.23477883445926112,2405103526,0.6660899653979239,0.13351457315291007,2000.0,0.0,0.8633217993079585,0.01591050611906188,8
tobacco,equalize,2,0.024955572671985417,0.0001,1000,289,1229,4.252595155709343,0.751408436825168,0.23581956777486318,988742546,0.5826124567474048,0.1797970671153804,2000.0,0.0,0.884083044982699,0.017740344483367622,8
ego,equalize,0,0.03827396318217602,0.0001,1000,503,2933,5.831013916500994,0.9131016831164395,0.5929179451944047,2486417708,0.7974652087475149,0.18954403310881027,2000.0,0.0,0.0,0.0,8
ego,equalize,1,0.021051796252716283,0.0001,1000,503,2933,5.831013916500994,0.916550475530723,0.5922377034020082,1834041383,0.5795228628230616,0.3164060004816091,2000.0,0.0,0.002982107355864811,0.0018405966198261458,8
ego,equalize,2,0.04383343123952285,0.0001,1000,503,2933,5.831013916500994,0.9121364550508066,0.5932093999173667,4190606787,0.5576540755467196,0.2751656037330144,2000.0,0.0,0.5,0.5345224838248488,8
