network,method,variants_done,mean_build_sec,mean_run_sec,sec_per_run,variants_left,projected_hours_left,projected_total_hours
ego,equalize,1000,0.0029422693252562993,2.0327983767986297,0.00203279837679858,0,0.0,0.5654835128121906
pud,equalize,1000,0.0006323153972625241,1.4509682583808898,0.0014509682583808416,0,0.0,0.4032223816050423
tobacco,equalize,1000,0.0012794461250304693,1.8170568194389343,0.0018170568194388849,0,0.0,0.5050934071011014
