network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
pud,equalize,0,0.043795740118136764,0.01,1000,90,160,1.7777777777777777,0.7027777777777777,0.17075949905628268,2165121741,0.8597444444444444,0.056946084678966044,145.822,34.95159409712137,0.7494333333333333,0.11534980302774697,1000
pud,equalize,1,0.07624213143661505,0.01,1000,90,160,1.7777777777777777,0.6866666666666666,0.16528296751980964,2310751638,0.8575666666666667,0.04979504081029734,146.538,34.247678161584325,0.7559777777777777,0.09381084188035628,1000
pud,equalize,2,0.04168359519479257,0.01,1000,90,160,1.7777777777777777,0.7083333333333334,0.1656823329367189,3085228320,0.8518333333333333,0.05041722756267653,146.134,34.87644492218797,0.7536111111111111,0.09890237523930417,1000
pud,equalize,3,0.0480166726647459,0.01,1000,90,160,1.7777777777777777,0.7077777777777778,0.1717807015061917,2949479497,0.8621,0.04975511777278888,142.856,32.06155341226008,0.7875333333333333,0.0965827698987654,1000
pud,equalize,4,0.07424179302164487,0.01,1000,90,160,1.7777777777777777,0.6963888888888888,0.15758015524039137,1916305338,0.8638555555555556,0.05225898482866352,145.538,33.32246904031788,0.6534,0.06723000411795775,1000
pud,equalize,5,0.02185084930547141,0.01,1000,90,160,1.7777777777777777,0.7188888888888889,0.16652225893015368,200782245,0.8528333333333333,0.05140781198907297,144.967,32.409015030624666,0.7773333333333333,0.0947544748773096,1000
pud,equalize,6,0.05868918171506367,0.01,1000,90,160,1.7777777777777777,0.7191666666666666,0.1626947297531619,1169229093,0.8648333333333333,0.048461258292410055,144.651,32.86096532425733,0.7853111111111112,0.08845148470561764,1000
pud,equalize,7,0.08611794191088161,0.01,1000,90,160,1.7777777777777777,0.6919444444444445,0.164961003096968,1591561783,0.8777777777777779,0.04370704024634349,142.421,29.69993004781063,0.7677111111111111,0.08488738475364013,1000
pud,equalize,8,0.03202170247104983,0.01,1000,90,160,1.7777777777777777,0.7116666666666667,0.1648537080649224,163812862,0.8700444444444445,0.049490519635137994,143.867,31.11892830254116,0.7568333333333334,0.10091694865989118,1000
pud,equalize,9,0.07583859219906218,0.01,1000,90,160,1.7777777777777777,0.7084722222222223,0.16316673913939136,934026429,0.8656111111111111,0.05402058662523851,145.043,33.53621667434818,0.7233666666666667,0.12546304010034726,1000
pud,equalize,10,0.02736782715900862,0.01,1000,90,160,1.7777777777777777,0.71125,0.174445012650207,1171932564,0.8564777777777778,0.053431895311437126,145.513,33.72517187826056,0.7451333333333333,0.1170507609275572,1000
pud,equalize,11,0.07871780393041763,0.01,1000,90,160,1.7777777777777777,0.7008333333333334,0.16324239775428762,1042885312,0.8515,0.060802981490332156,144.89,33.94309994732414,0.7288444444444444,0.13276432175310757,1000
pud,equalize,12,0.03164043332567356,0.01,1000,90,160,1.7777777777777777,0.7141666666666667,0.170165770584662,949488958,0.8658555555555556,0.04837945389536281,143.568,31.962336694412176,0.7802333333333333,0.09442900879443474,1000
pud,equalize,13,0.050013365733546755,0.01,1000,90,160,1.7777777777777777,0.7047222222222221,0.16532100136472547,1119995530,0.8765,0.050721478166154646,144.684,32.36095448801497,0.7651444444444444,0.13245560231772296,1000
pud,equalize,14,0.07694251793697575,0.01,1000,90,160,1.7777777777777777,0.6933333333333334,0.16395013406881312,1668990636,0.8886444444444445,0.041091877172137345,142.947,31.51144493929408,0.7759111111111111,0.11648222334446075,1000
pud,equalize,15,0.011365548223606237,0.01,1000,90,160,1.7777777777777777,0.7181944444444445,0.16833178273967747,299095942,0.8463111111111111,0.05561200113265678,144.566,34.861827132136796,0.7471555555555556,0.10444729832320172,1000
pud,equalize,16,0.035500501039381384,0.01,1000,90,160,1.7777777777777777,0.6984722222222222,0.17252795535803325,2401903328,0.8611333333333333,0.04889313032025565,142.533,31.544444248757383,0.7542222222222221,0.104521301562208,1000
pud,equalize,17,0.04931958704838886,0.01,1000,90,160,1.7777777777777777,0.7206944444444444,0.16723136589642554,3586708698,0.856,0.05237639254829332,143.654,33.911004707030436,0.7715666666666667,0.10169567848915241,1000
pud,equalize,18,0.017426687443285637,0.01,1000,90,160,1.7777777777777777,0.7169444444444445,0.15939073272406606,4128482750,0.8461222222222222,0.056518404162019406,146.923,34.14655265261862,0.7439,0.10982719383801758,1000
pud,equalize,19,0.09766506954780713,0.01,1000,90,160,1.7777777777777777,0.6900000000000001,0.16031022173179035,39555487,0.8570666666666668,0.048824215825392904,144.28,31.664779460123487,0.7788333333333334,0.09544811063245194,1000
pud,equalize,20,0.008064263684033767,0.01,1000,90,160,1.7777777777777777,0.7222222222222222,0.15165033577182718,2687372836,0.8437666666666667,0.05621264067879387,145.542,33.79082798713366,0.7382111111111112,0.11013826077194339,1000
