network,method,variants_done,variants_target,sims_done,sims_target,pct_complete,variants_left,sims_left,beyond_target,sec_per_variant,hours_left,status
pud,equalize,1000,1000,1000000,1000000,100.0,0,0,0,1.5,0.0,complete
tobacco,equalize,1000,1000,1000000,1000000,100.0,0,0,0,1.8,0.0,complete
ego,equalize,1000,1000,1000000,1000000,100.0,0,0,0,2.0,0.0,complete
