network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
tobacco,equalize,0,0.03547400306836703,0.1,1000,289,1229,4.252595155709343,0.7509467004147181,0.23592358631365887,2300924116,0.9377162629757786,0.012268584919417557,53.375,3.50255009141299,0.9143598615916955,0.01566675629435537,8
tobacco,equalize,1,0.027215691320581582,0.1,1000,289,1229,4.252595155709343,0.7487675297946681,0.2356556211064924,1233274233,0.9290657439446367,0.01396386247338167,62.125,22.31231242418154,0.8948961937716263,0.023243994537274066,8
tobacco,equalize,2,0.03648979606263997,0.1,1000,289,1229,4.252595155709343,0.7435476559838505,0.23588352457123882,647433499,0.9355536332179931,0.018856204012931258,55.875,6.621124203206409,0.9204152249134948,0.028110859531612343,8
