network,method,variant_index,n_runs,build_sec,run_sec,sec_per_run,total_steps,num_cores
pud,equalize,0,8,0.0002832412719726,0.7413561344146729,0.0926695168018341,426,8
pud,equalize,1,8,0.0002760887145996,0.7691750526428223,0.0961468815803527,442,8
pud,equalize,2,8,0.00030517578125,0.7683980464935303,0.0960497558116912,420,8
tobacco,equalize,0,8,0.0008308887481689,0.7775821685791016,0.0971977710723877,427,8
tobacco,equalize,1,8,0.0004770755767822,0.7649729251861572,0.0956216156482696,497,8
tobacco,equalize,2,8,0.0004670619964599,0.7638719081878662,0.0954839885234832,447,8
ego,equalize,0,8,0.0007898807525634,0.7618050575256348,0.0952256321907043,417,8
ego,equalize,1,8,0.0006680488586425,0.7730450630187988,0.0966306328773498,421,8
ego,equalize,2,8,0.0008330345153808,0.7529568672180176,0.0941196084022522,421,8
