network,method,variant_index,variation_seed,uncertainty,proportion_edges,done
pud,equalize,0,3955680683,0.1,0.000364057372896931,True
pud,equalize,1,3807228879,0.1,0.014705374903521008,True
pud,equalize,2,2942006816,0.1,0.012227549200999922,True
tobacco,equalize,0,2300924116,0.1,0.03547400306836703,True
tobacco,equalize,1,1233274233,0.1,0.027215691320581582,True
tobacco,equalize,2,647433499,0.1,0.03648979606263997,True
ego,equalize,0,446975571,0.1,0.024753664912894602,True
ego,equalize,1,4011797818,0.1,0.09966538584407461,True
ego,equalize,2,118399924,0.1,0.07038247335179725,True
