network,method,variant_index,n_runs,n_unique_seeds,seeds_distinct,std_share_of_correct_agents_at_convergence,std_convergence_step,std_proportion_reached_by_truth,any_variance
pud,equalize,0,8,8,True,0.02151657414559677,2.947456530637899,0.08731240914167618,True
pud,equalize,1,8,8,True,0.047709900103660205,7.119515432949071,0.10612965224865178,True
pud,equalize,2,8,8,True,0.03554578858908259,1.0,0.09043789220055391,True
tobacco,equalize,0,8,8,True,0.011476210347250522,3.276335605520289,0.014654908603890498,True
tobacco,equalize,1,8,8,True,0.013061997292855976,20.87125714948671,0.02174276596463115,True
tobacco,equalize,2,8,8,True,0.017638363757875163,6.193494570918747,0.02629530130375547,True
ego,equalize,0,8,8,True,0.0017036915010937206,0.33071891388307384,0.4841229182759271,True
ego,equalize,1,8,8,True,0.0013836392551764645,1.3169567191065923,0.4330127018922193,True
ego,equalize,2,8,8,True,0.0006574928705428987,0.6959705453537527,0.33071891388307384,True
