network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
pud,equalize,0,0.046790836985192576,0.001,1000,90,160,1.7777777777777777,0.6845833333333333,0.16691614636876073,3078593340,0.7805555555555556,0.10503211904815606,609.75,154.65329888865242,0.7277777777777777,0.10456932756825779,8
pud,equalize,1,0.04610721099421472,0.001,1000,90,160,1.7777777777777777,0.7015277777777779,0.16565322165253363,360879056,0.7055555555555556,0.11516417236328289,425.0,121.28950019330962,0.6541666666666667,0.1508865628546432,8
pud,equalize,2,0.06295433828095032,0.001,1000,90,160,1.7777777777777777,0.7006944444444444,0.17068331178625296,3743440435,0.7513888888888889,0.09972404605486096,591.75,265.58332025938677,0.7055555555555556,0.16840364710952183,8
tobacco,equalize,0,0.05391186986750212,0.001,1000,289,1229,4.252595155709343,0.7372860597836034,0.2388011143391644,3196016159,0.8901384083044983,0.026722764054919444,1082.875,305.48623420002787,0.9005190311418685,0.015223790009327262,8
tobacco,equalize,1,0.0819353538364963,0.001,1000,289,1229,4.252595155709343,0.7281864739386398,0.23518753689617308,4065367510,0.893598615916955,0.013685485121015408,1108.625,334.6627033297855,0.8992214532871972,0.01232942843424309,8
tobacco,equalize,2,0.013100069907407164,0.001,1000,289,1229,4.252595155709343,0.7554458149506871,0.23453944991193496,3237409484,0.8633217993079585,0.021088214540485956,1201.875,288.9431172393625,0.8620242214532872,0.014138845511580409,8
ego,equalize,0,0.0019071979573001552,0.001,1000,503,2933,5.831013916500994,0.9199409746769976,0.5991812256632131,978796114,0.9940357852882704,0.004250675815704566,1029.5,343.26291464623523,0.5,0.5345224838248488,8
ego,equalize,1,0.018811858939856364,0.001,1000,503,2933,5.831013916500994,0.9155784691781125,0.5938526491048375,1094106742,0.9950298210735586,0.0018405966198261107,1051.5,446.5413114787286,0.75,0.4629100498862757,8
ego,equalize,2,0.04775948863229799,0.001,1000,503,2933,5.831013916500994,0.9108282456640993,0.5696737547804462,3090529957,0.992296222664016,0.002898087422885361,1068.625,436.76143782553487,0.375,0.5175491695067657,8
