network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
ego,equalize,0,0.0019071979573001552,0.001,1000,503,2933,5.831013916500994,0.9199409746769976,0.5991812256632131,978796114,0.9940357852882704,0.004250675815704566,1029.5,343.26291464623523,0.5,0.5345224838248488,8
ego,equalize,1,0.018811858939856364,0.001,1000,503,2933,5.831013916500994,0.9155784691781125,0.5938526491048375,1094106742,0.9950298210735586,0.0018405966198261107,1051.5,446.5413114787286,0.75,0.4629100498862757,8
ego,equalize,2,0.04775948863229799,0.001,1000,503,2933,5.831013916500994,0.9108282456640993,0.5696737547804462,3090529957,0.992296222664016,0.002898087422885361,1068.625,436.76143782553487,0.375,0.5175491695067657,8
