network,method,variant_index,variation_seed,uncertainty,proportion_edges,done
pud,equalize,0,3078593340,0.001,0.046790836985192576,True
pud,equalize,1,360879056,0.001,0.04610721099421472,True
pud,equalize,2,3743440435,0.001,0.06295433828095032,True
tobacco,equalize,0,3196016159,0.001,0.05391186986750212,True
tobacco,equalize,1,4065367510,0.001,0.0819353538364963,True
tobacco,equalize,2,3237409484,0.001,0.013100069907407164,True
ego,equalize,0,978796114,0.001,0.0019071979573001552,True
ego,equalize,1,1094106742,0.001,0.018811858939856364,True
ego,equalize,2,3090529957,0.001,0.04775948863229799,True
