network,method,variant_index,n_runs,n_unique_seeds,seeds_distinct,std_share_of_correct_agents_at_convergence,std_convergence_step,std_proportion_reached_by_truth,any_variance
pud,equalize,0,8,8,True,0.09824855102126329,144.66491454392113,0.09781564923143894,True
pud,equalize,1,8,8,True,0.1077262190536962,113.45593858410409,0.14114145561750158,True
pud,equalize,2,8,8,True,0.0932833033900388,248.43044801312098,0.15752718754175363,True
tobacco,equalize,0,8,8,True,0.024996856880276613,285.75620618807216,0.014240551585773654,True
tobacco,equalize,1,8,8,True,0.01280159912365807,313.04829399790697,0.011533124243921592,True
tobacco,equalize,2,8,8,True,0.019726218427320728,270.28153724403745,0.0132256789372151,True
ego,equalize,0,8,8,True,0.003976143141153084,321.09305504790973,0.5,True
ego,equalize,1,8,8,True,0.0017217204846608858,417.701149148527,0.4330127018922193,True
ego,equalize,2,8,8,True,0.0027109125533389005,408.55291502448006,0.4841229182759271,True
